Name,Card Code,Collections,Albums (from Collections),Rarity,Energy,Power,Ability Title,Ability (Override)
Apollo,CGM003,Greek Mythology,Culture,Epic,8,7,Athletic Youth,"<indent=1em>:draw:</indent><indent=2em>If it’s an odd turn, gain +3 :energy:. If it’s an even turn, gain +3 Hero :attack:.</indent>"
Persephone,CGM002,Greek Mythology,Culture,Epic,7,5,Return to the Surface,"<indent=1em>:return:</indent><indent=2em>If you did not Attack this turn, restore +8 :health:</indent>"
Hades,CGM001,Greek Mythology,Culture,Legendary,4,6,Overthrow,"<indent=1em>:play:</indent><indent=2em>If your opponent hasn't Attacked in 2 or more turns, force them to Attack this turn.</indent>"
Heaven’s Gate,NNM011,Natural Monuments,Nature,Common,4,3,Steep Ascent,"<indent=1em>:play:</indent><indent=2em>If played next to Devil's Tower, your Common Natural Monuments cards gain <nobr>+2 :attack:</nobr> until played.</indent>"
Nitrogen,SPT002,The Periodic Table,Science,Epic,6,2,Compound Volatility,"<indent=1em>:play:</indent><indent=2em>For every Rare card played adjacent to this, this card gains <nobr>+4 :attack:</nobr> this turn</indent>"
Bull Shark,NSH012,Sharks,Nature,Common,6,4,Aggrocean,<indent=1em>:play:</indent><indent=2em>Your Aquatic cards gain <nobr>+1 :attack:</nobr> this turn and you lose <nobr>-2 :health:</nobr>.</indent>
Ouija Board,CTO004,The Occult,Culture,Rare,6,3,Voices of the Dead,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> this turn, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Mars,SSS001,The Solar System,Science,Legendary,3,1,Seeing Red,"<indent=1em>:play:</indent><indent=2em>If you are below <nobr>25 :health:</nobr>, restore <nobr>+15 :health:</nobr>.</indent>"
Mount Olympus,CGM016,Greek Mythology,Culture,Fusion,9,2,Peak Performance,"<indent=1em>:draw:</indent><indent=2em>If your deck contains any Natural Monuments card, your Greek Mythology cards gain +2 :attack: until played.</indent>"
Cleopatra,HHE001,Heroes of History,History,Hero,0,70,For The People,Gain <nobr>+10 :shield:</nobr>. <nobr>[2 :charge:]</nobr>
Acheroraptor,NDI007,Dinosaurs,Nature,Rare,5,6,Clawsome,<indent=1em>:play:</indent><indent=2em>Your Velociraptor and Megaraptor cards gain <nobr>+2 :attack:</nobr> this turn.</indent>
Caligula,HRE007,The Roman Empire,History,Rare,4,4,Oderint dum metuant,<indent=1em>:draw:</indent><indent=2em>This card takes <nobr>+1 :attack:</nobr> from all other The Roman Empire cards in your hand until played.</indent>
The Grand Canyon,NNM016,Natural Monuments,Nature,Fusion,5,3,Mountain Lying Down,"<indent=1em>:play:</indent><indent=2em>If your deck contains exactly 6 Nature cards, your non-Nature cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Siamese,NFE003,Felines,Nature,Epic,5,3,Point Coloration,"<indent=1em>:play:</indent><indent=2em>If you are not <nobr>Attacking :attack:</nobr>, your Felines cards gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Poseidon,CGM006,Greek Mythology,Culture,Rare,6,5,Come in Waves,"<indent=1em>:play:</indent><indent=2em>If it is an even Turn number, this card gains +3 :attack: this turn.</indent>"
Elizabeth Blackwell,SST010,STEM Stars,Science,Common,3,1,Medicine and Morality,<indent=1em>:return:</indent><indent=2em>Gain <nobr>+1 :charge:</nobr>.</indent>
Mary Shelley,CLI002,Literature,Culture,Epic,5,4,Mother Monster,"<indent=1em>:play:</indent><indent=2em>If played next to any Anatomy card, your Literature cards gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Ankh,HAE008,Ancient Egypt,History,Common,1,1,Live Forever,"<indent=1em>:play:</indent><indent=2em> If played next to Scarab, gain <nobr>+3 :shield:</nobr>.</indent>"
Gladius,HRE010,The Roman Empire,History,Common,2,0,Ego tibi gladius...,<indent=1em>:play:</indent><indent=2em>Gain <nobr>+3 Hero :attack:</nobr>.</indent>
Hammerhead Shark,NSH016,Sharks,Nature,Fusion,7,7,Cephalofoil,"<indent=1em>:play:</indent><indent=2em>If played between two cards from an Album, two random cards from that Album gain <nobr>+4 :attack:</nobr> until played.</indent>"
Spinosaurus,NDI002,Dinosaurs,Nature,Epic,6,5,Show Some Backbone,"<indent=1em>:draw:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> last turn, gain <nobr>+8 :shield:</nobr>.</indent>"
Nikola Tesla,SHE003,Heroes of Science,Science,Hero,0,70,Alternating Current,Steal <nobr>1 :charge:</nobr> from your opponent and turn it into <nobr>+3 :ept:</nobr> for yourself. <nobr>[3 :charge:]</nobr>
Neptune,SSS007,The Solar System,Science,Rare,7,4,Fluid,"<indent=1em>:play:</indent><indent=2em>If played on the left, Reset a random card in your hand. If played on the right, gain <nobr>+3 :shield:</nobr>.</indent>"
Adventure Galley,HAP013,Age of Piracy,History,Common,4,2,Privateering,<indent=1em>:play:</indent><indent=2em>Your Captain Kidd card gains <nobr>+2 :attack:</nobr> until played.</indent>
Brain,SHE001,Heroes of Science,Science,Hero,0,70,Emotional Response,"If you have 50% or less <nobr>:health:</nobr>, your cards in-hand gain <nobr>+3 :attack:</nobr> this turn. <nobr>[1 :charge:]</nobr>"
Witching Hour,CTO009,The Occult,Culture,Common,6,3,Midnight Guard,<indent=1em>:return:</indent><indent=2em>Your remaining Common cards in-hand gain <nobr>+3 :attack:</nobr> next turn.</indent>
Mary Seacole,SST011,STEM Stars,Science,Common,3,1,Mother Seacole,"<indent=1em>:play:</indent><indent=2em>If you've been <nobr>Attacked :attack:</nobr> 1 or more times this game, your opponent loses <nobr>-3 Hero :attack:</nobr>.</indent>"
Hera,CGM011,Greek Mythology,Culture,Common,5,3,Family Values,"<indent=1em>:play:</indent><indent=2em> If you have Attacked 2+ times this game, your Greek Mythology cards in-hand gain +2 :attack: this turn.</indent>"
Shakshuka,CFD010,Food and Drink,Culture,Common,4,4,Sizzle,<indent=1em>:return:</indent><indent=2em><nobr>Burn :burn: (-1)</nobr> your remaining cards in hand until played.</indent>
Perseids,SSS012,The Solar System,Science,Common,5,4,Meteor Shower,<indent=1em>:draw:</indent><indent=2em>3 random cards in either player's hands cost <nobr>-1 :energy:</nobr> this turn.</indent>
